ID в ИС ГТИБД,Вид объекта,Название,Краткое название,Название (англ.),Тип учреждения,Адрес (ручной),Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Историческая справка,Историческая справка (англ.),Заметки,Режим работы,Режим работы (англ.),Координаты
6925,Мосты,Галерный мост,,Galerny Bridge,,"Санкт-Петербург, Галерный мост",,,,,,Галерный мост - пересекает реку Фонтанку в Адмиралтейском районе Санкт-Петербурга. Соединяет Галерный и Безымянный острова. Соединяет между собой части территории Адмиралтейского Завода. Ближайшая станция метрополитена - «Балтийская». Мост получил название Галерный в наследство от Адмиралтейского моста через Ново-Адмиралтейский канал 4 июля 1977 года. Мост однопролётный металлический с простой решёткой из вертикально поставленных металлических прутьев.,Galerny Bridge crosses the Fontanka River in Admiralteysky district of Saint Petersburg. It connects Galerny and Bezymyanny islands. It links two parts of the Admiralteysky Pland territory.,,,,"59.915508,30.269344"
6926,Мосты,Карельский мост,,Karelsky Bridge,,"Санкт-Петербург, Карельский мост",,,,,,"Карельский мост - мост через Чёрную речку в Санкт-Петербурге. Расположен в створе Карельского переулка и улицы Матроса Железняка. В 2007 году было принято решение о строительстве Коломяжского путепровода. В соответствии со строительными планами, улица Матроса Железняка и Карельский переулок становятся частью развязки путепровода, для чего улицы необходимо было продлить. В 2010 году началось сооружение моста в створе Карельского переулка для его соединения с улицей Матроса Железняка, и в середине 2011 года мост был сдан в эксплуатации.",Karelsky Bridge is a bridge across Chyornaya Recka in Saint Petersburg. It  is situated in the alignment of Karelsky lane Matros Zheleznyak's street. In 2007 a decision was taken to construst Kolomyazhsky cross-over.,,,,"59.989891,30.294003"
6927,Мосты,Ланской мост,,Lanskoy Bridge,,"Санкт-Петербург, Ланской мост",,,,,,"Ланской мост - мост через Чёрную речку в Санкт-Петербурге. Расположен в створе Ланского шоссе и Школьной улицы. В 1849 году здесь был построен деревянный мост, называвшийся 2-м Чернореченским (чтобы не смешивать его с находящимся ниже по течению 1-м Чернореченским мостом), а с 1868 года - Пограничным, так как здесь проходила северная граница Санкт-Петербурга. Современное название существует с 1889 года и, как и некоторые другие топонимы этого исторического района города, связано с фамилией дворянского рода Ланских, с конца XVIII века владевших обширным участком земли между Чёрной речкой и Выборгской дорогой. В начале XX века мост был перестроен из металла.","Lanskoy Bridge is a bridge across Chyornaya Rechka in Saint Petersburg in the alignment of Lanskoye highway and Shkolnaya street. In 1849 it was a wooden bridge, then it was replaced with a modern one after the project of Rosen  in 1967.",,,,"59.989558,30.301217"
6928,Мосты,Чернореченский мост,,Chernorechensky Bridge,,"Санкт-Петербург, Чернореченский мост",,,,,,"Чернореченский мост - мост через Чёрную речку (приток Большой Невки, Санкт-Петербург). Расположен в створе Торжковской улицы, улицы Савушкина и улицы Академика Крылова. Уже в начале XIX века здесь находился деревянный мост, называвшийся Комендантским по находившемуся поблизости Комендантскому полю. В 1836-1846 годах он именовался Никольским мостом - название происходило от сельца Никольского, которое находилось также на левом берегу Черной речки, но в другой стороне от моста, между современными Торжковской улицей и Вазаским переулком. С 1849 года носит современное название Чернореченский мост (по названию реки, через которую перекинут).","Chernorechensky Bridge is a bridge across Chyornaya Rechka in the alignment of Torzhkovskaya Street, Savushkina Street and Akademika Krylova Street. A wooden bridge was built here as early as XIX century, which was called Komendantsky.",,,,"59.986421,30.302609"
6929,Мосты,Строгановский мост,,Stroganovsky Bridge,,"Санкт-Петербург, Строгановский мост",,,,,,"Строгановский мост - пешеходный мост в Приморском районе Санкт-Петербурга, пересекающий Чёрную речку в створе улицы Графова. Мост построен в 1977 году по проекту инженера А. И. Рубашева. В начале 2010 года ранее безымянный мост получил название Строгановский. Это наименование связано с именем Строгановых, усадьба которых (Строгановская дача) располагалось в местности к югу от моста в XVIII-XIX веках.","Stroganovsky Bridge is a pedestrian bridge in Primorsky district in Saint Petersburg, crossing Chyornaya Rechka in the alignment of Grafov Street. It was built in 1977 after the project of engineer Rubashev.",,,,"59.984175,30.310236"
6930,Мосты,Головинский мост,,Golovinsky Bridge,,"Санкт-Петербург, Головинский мост",,,,,,"Головинский мост - соединяет берега Чёрной речки в Приморском районе Санкт-Петербурга. Соединяет Выборгскую набережную с Ушаковской набережной. Ближайшая станция метрополитена (1,2 км) - «Чёрная речка». Мост назван по фамилии графа Ф. А. Головина, имение которого располагалось недалеко от описываемых мест. От усадьбы сохранилось угловое здание: Выборгская набережная дом № 1 - дача Головина. Ранее Головинской - по той же фамилии - называлась также Лисичанская улица, проходящая неподалёку.",Golovinsky Bridge connects the banks of Chyornaya Rechka in Primorsky district of Saint Petersburg. It connects Vyborgskaya embankment and Ushakovskaya embankment. The nearest metro station is Chyornaya Rechka.,,,,"59.981096,30.317153"
6931,Мосты,Большой Ижорский мост,,Bolshoy Izhorsky Bridge,,"Санкт-Петербург, Большой Ижорский мост",,,,,,"Большой Ижорский мост - мост через разлив реки Ижора между Пролетарской улицей и улицей Ремизова в городе Колпино (Колпинский район Санкт-Петербурга). Построен в 1977 году. Ширина моста 20 метров, длина 249,2 метров. В момент строительства и после постройки этот мост назывался Пролетарский. Главный инженер проекта института Ленгипроинж проект Дворкин Б. Э. Подрядчик: СУ-2 треста Ленмостострой. Мост возводили бригады И. А. Пыжова, А. П. Лебедева, Е. Ф. Труса, А. И. Галошина. Прораб Соловейчик С. Я., начальник участка Фоломеев В. В.",Bolshoy Izhorsky Bridge is a bridge across the freshet of Izhora between Proletarskaya street and Remizova street in Kolpinsky district of Saint Petersburg. It was constructed in 1977.,,,,"59.740611,30.597373"
8660,Природные объекты,Государственный природный заказник регионального значения «Юнтоловский»,Заказник «Юнтоловский»,"""Yuntolovsky"" nature reserve",,"Приморский район Санкт-Петербурга, территория муниципальных образований муниципальный округ Лахта-Ольгино, муниципальный округ № 65, муниципальный округ Юнтолово",+7 (812) 242-33-77,http://oopt.spb.ru/protected_area/yuntolovskiy/,oopt.spb@gmail.com,"Территория, площадью всего около 2000 га и расположенная в 10 километрах от исторического центра Санкт-Петербурга была объявлена в 1990 году комплексным заказником, т.е. заказником, в котором охраняются не отдельные виды, а весь природный комплекс в целом. Решение такое было принято потому что Юнтоловский заказник сохранился в практически неизмененном виде с допетровского времени и все это время развивался по естественным законам природы, говоря научным языком, является «эталоном прибрежного леса». Во-вторых, во время сезонных миграций здесь останавливаются для отдыха и кормления сотни тысяч птиц, на пролете отмечено не менее 150 видов, 13 из которых занесены в Красные книги. В заказнике гнездятся более 90 видов птиц, из которых 4 занесены в Красную книгу Балтики (коростель, белоспинный дятел, болотная сова и варакушка). По разнообразию видов заказник соизмерим с такими территориями как дельта Волги или Средиземноморье. Очень многообразен растительный мир Юнтоловского. На 1997 год обнаружено 337 видов сосудистых растений (из них, по крайней мере, 12 видов редко встречаются в нашей области) и 69 видов мхов.","In 1990, this territory of only about 2000 hectares in area and located just 10 kilometers away from the historic center of St. Petersburg, was declared a complex reserve, which means that not only individual species are protected here, but  the natural complex as a whole. This decision was adopted because Yuntolovsky sanctuary has been preserved practically unchanged since the pre-Petrine time, all the while developing by the laws of nature, so it is considered to be ""the standard of riparian forest"". Secondly, hundreds of thousands of birds stop here during the seasonal migration to rest and feed; at least 150 species are noted on migration, 13 of which are listed in the Red Book. More than 90 species of birds nest in the reserve, 4 of which are listed in the Red Book of the Baltic Sea (corncrake, white-backed woodpecker, short-eared owl and blue-throated warbler). The variety of species in the preserve is commensurable with such areas as the Volga delta and the Mediterranean. The flora of Yuntolovsky reserve is very diverse as well. By 1997, there were 337 species of vascular plants (of which at least 12 species are rare in our area), and 69 species of moss here.","В 1919 году на берегу Невской губы в особняке графов Стенбок-Ферморов, владевших окрестными землями до революции, начала работать Лахтинская экскурсионная станция. Ее возглавил известный полярный исследователь профессор П. В. Виттенбург. В первый же год работы при учреждении был организован Музей природы северного побережья Невской губы. Проработавшая до 1932 года станция являлась подлинным центром исследований природы местного края, многие из которых не утратили научной ценности и поныне.","Lakhtinskaya excursion station started its work in 1919 on the banks of the Neva Bay, in the mansion of Counts Stenbock-Fermor, who owned the surrounding lands before the revolution. It was led by a well-known polar researcher Professor P.V. Wittenburg. During the first year of work, the Museum of Nature of the Northern Coast of the Neva Bay was organized at the establishment. The station functioned until 1932 and was the real center of the local nature research; many of those studies still have not lost their scientific value today.",Добраться до территории заказника можно на автомобиле или наземным общественным транспортом по Шуваловскому пр.; Планерной ул.; Глухарской ул.; 3-й Конной Лахте.,посещение свободно,,"60.02391,30.169093"
8661,Природные объекты,Памятник природы регионального значения «Дудергофские высоты»,Памятник природы «Дудергофские высоты»,"The natural landmark ""Duderhof Heights""",,Красносельский район Санкт-Петербурга,(812) 314-80-15,http://oopt.spb.ru/protected_area/dudergofskiye-visoti/,oopt.spb@gmail.com,"Дудергофские высоты - два крупных холма (гора Воронья и Ореховая гора), располагающиеся на едином цокольном основании высотой 90 100 м. Для окрестностей Санкт-Петербурга возвышенность сама по себе является исключительным явлением. Абсолютные отметки вершин холмов достигают 147 м и 176 м, относительные превышения вершин над подножьями составляют 60-70 м при крутизне склонов до 30°. Геологическое строение участка весьма своеобразно. Здесь наблюдаются выходы лонтовасских глин ордовика, на 100 м превышающие их нормальное залегание в разрезе, крутое падение (до 70 град.) ордовикских известняков, не свойственное их нормальному залеганию, значительная изменчивость горных пород как но разрезу, гак и по простиранию. Четвертичные отложения на высотах достигают мощности 65-80 м. Единого мнения о происхождении Дудергофских высот пока нет: Преобладает гипотеза гляциодислокации: это ледниковый наволок, или 'морена напора'. Пока имеет право на существование и гипотеза ударно-метеоритного происхождения высот: горные породы раздроблены и 'задраны' в результате удара крупного метеорита. Рекреационная нагрузка на памятник природы чрезвычайно велика. Он активно посещается населением для отдыха, сбора грибов и цветов, проведения спортивных соревнований.","Duderhof Heights are two large hills (Voronya and Orekhovaya hills), located on a common ground base, 90 100 m in height. The hills themselves are an exceptional phenomenon for the outskirts of St. Petersburg. The absolute marks of the hilltops reach 147 m and 176 m. The recreational pressure on this natural monument is extremely high. It is actively visited by the locals for recreation, collection of mushrooms and flowers, sports competitions.","В 1820-1830 годах по указу супруги императора Николая I Александры Федоровны на Дудергофских высотах был устроен парк - проведены ландшафтные рубки и посадки декоративных древесных пород и кустарников, проложены пейзажные дорожки, устроены лестницы из камня. На случай визита высочайших особ на вершине Ореховой горы в 1826 году был построен Швейцарский домик (к настоящему времени сохранился только его фундамент). Ниже, в долине, получившей потом название Театральная, в то же время возвели Молочный домик и караульню для сторожей (не сохранились). С конца XIX века Дудергоф становится одним из известных дачных пригородов Петербурга, популярным местом отдыха на природе, а также ботанических экскурсий у просвещенной части населения. Во время Великой Отечественной войны растительности высот был нанесен колоссальный урон. Ожесточенные бои в 1941 и 1944 годах с применением танков, артиллерии и авиации оставили от живописного парка лишь редины и заросли молодняка с отдельно стоящими старыми деревьями. В 1988 году Дудергофский парк, получивший при советской власти название Нагорный, был взят под охрану как памятник истории и культуры. В 1990 году Дудергофские высоты, наряду с другими ансамблями и достопримечательными местами окрестностей Санкт-Петербурга, были внесены в Список Всемирного наследия ЮНЕСКО. Уже более ста пятидесяти лет в научном мире не утихают споры о происхождении столь уникального ландшафта. Одни исследователи выдвигают доказательства в пользу того, что рельеф образовался вследствие движения ледника. Об этом свидетельствуют многометровые наслоения на коренную породу, характерные для четвертичного периода. Другие исследователи утверждают, что Дудергофские высоты - результат падения метеорита, приводя в доказательство нетипичное залегание горных пород, местами почти вертикальное. Приверженцы обеих теорий приводят веские доказательства.","In 1820-1830, a park on Duderhof Heights was arranged by the order of Alexandra Fyodorovna, Emperor Nicholas I's wife. Landscape felling was made, ornamental trees and shrubs were planted, landscape walkways were paved, stone stairs were constructed. Since the end of the XIX century Duderhof become one of the famous suburbs of St. Petersburg, a popular holiday destination and a place for botanical excursions for the educated part of the population. The vegetation of the heights suffered enormous damage during the Great Patriotic War. Fierce fighting with tanks, artillery and aircrafts in 1941 and 1944 has left only sparse forests and thickets of young trees with occasional free-standing old trees from what once was a picturesque park. In 1988 Dudergofsky park was taken under protection as a monument of history and culture. In 1990 Duderhof Heights, along with other ensembles and sights of the surrounding area of St. Petersburg, was included into the UNESCO World Heritage List. For more than a hundred and fifty years, the scientific world has not ceased to debate about the origin of such a unique landscape. Some researchers put forward evidence in favor of the fact that the relief was formed due to the movement of the glacier. This is evidenced by the multi-meter layers on the bedrock, characteristic of the Quaternary period. Other researchers claim that the Duderhof Heights are the result of a meteorite impact, citing an atypical occurrence of rocks, sometimes almost vertical. Adherents of both theories provide strong evidence.",,"Посещение территории памятника природы без механических транспортных средств свободное, пропуск не требуется.",,"59.697637,30.130442"
8662,Природные объекты,Памятник природы регионального значения «Комаровский берег»,Памятник природы «Комаровский берег»,"The natural sanctuary ""Komarovsky Coast""",,"Курортный район Санкт-Петербурга, территория муниципальных образований город Зеленогорск и поселок Комарово",+7 (812) 242-33-77,http://oopt.spb.ru/protected_area/komarovskiy-bereg/,oopt.spb@gmail.com,"Территория охватывает прибрежную морскую литораль, первую морскую террасу, береговой уступ Литоринового моря и примыкающий к нему участок верхней береговой террасы северного побережья Финского залива. Такая структура рельефа обуславливает большое разнообразие природных комплексов. Центральное место в охраняемой зоне занимает спелый еловый массив по склону и подножью берегового уступа. В нем представлены ельники черничники и кисличники, состоящие из хорошо развитых елей высотой до 30 м и диаметром до полуметра. В ельнике найден редкий вид зубянка клубненосная. По всему склону имеется большое количество родников, образующих у подножья многочисленные ручьи. Лесной массив изобилует муравейниками рыжего лесного муравья, общее число которых достигает 300 на площади в 70 га. На верхней террасе присутствуют остатки когда-то развитых повсеместно сухих сосняков. Здесь также наблюдается исключительно высокая плотность муравейников. На морском побережье за полосой песчаной и каменистой литорали идет полоса песчаных пляжей шириной до 30 м. Во многих местах она переходит в невысокие дюны, поросшие волоснецом песчаным и живописными соснами с кронами ветровой формы. Далее в сторону склона следует полоса черноольшатников шириной до 100 м. Здесь в травяном ярусе найдены хохлатка и медуница редкие для северного побережья залива виды. Флора сосудистых растений насчитывает 298. мхов - 28 видов. Всю территорию памятника природы с запада на восток вдоль склона пересекает Приморское шоссе.","The area covers the coastal marine littoral, the first marine terrace, Littorina Sea cliff and the adjacent section of the upper terrace of the northern coast of the Gulf of Finland. This terrain structure determines a wide variety of natural systems that exist here. The centerpiece of the protected area is a mature spruce on the slope and foot of the cliff. Across the hill there is a large number of springs that form numerous streams at the foot of the slope. The forest abounds with ant-hills of red forest ants. On the upper terrace there are the remnants of once massively developed dry pine forests. Here there is an exceptionally high density of ant-hills as well. On the seaside strip of sand and rocky littoral there is a strip of sandy beaches about 30 m wide. In many places, it goes into the low dunes, overgrown with wild rye and picturesque pine trees. Further, there is a lane of black alder trees up to 100 m wide. Here, partlets and lungworts, rare species for the northern coast of the Gulf of Finland, were found. The whole territory of the natural monument, from west to east along the slope, is crossed by the Primorsky highway.","Главные даты в истории памятника природы: 22.04.1992 - объявление памятника природы, установление границ и режима охраны Санкт-Петербургским городским Советом народных депутатов; 16.07.2001 - создание ГУ «Дирекция особо охраняемых природных территорий Санкт-Петербурга» для обеспечения функционирования ООПТ регионального значения в Санкт-Петербурге, в том числе, памятника природы «Комаровский берег»; 28.02.2012 - утверждение паспорта памятника природы в новой редакции, уточнение границ и актуализация режима особой охраны Правительством Санкт-Петербурга.",,"Добраться до территории памятника природы можно: - электропоездом: с Финляндского вокзала в Выборгском направлении до станции Комарово; - на автомобиле: по Приморскому шоссе или по Зеленогорскому шоссе; - наземным общественным транспортом: по Приморскому шоссе. Советы для посетителей: - На экомаршруте установлены кормушки для птиц. Возьмите с собой нежаренные семечки подсолнечника и насыпьте их в кормушки. - Часть маршрута проходит по грунтовым дорожкам, которые после дождя и таяния снега становятся влажными. Поэтому предусмотрите соответствующую обувь. - Возьмите с собой средства защиты от насекомых. - Экологический маршрут пересекает Приморское шоссе, поэтому будьте осторожны и соблюдайте правила перехода через дорогу.","Посещение территории памятника природы без механических транспортных средств свободное, пропуск не требуется.",,"60.18085,29.783939"
8663,Природные объекты,Памятник природы регионального значения «Стрельнинский берег»,Памятник природы «Стрельнинский берег»,"The natural sanctuary ""Strelna shore""",,"Петродворцовый район Санкт-Петербурга, территория муниципального образования поселок Стрельна",+7 (812) 242-33-77,http://oopt.spb.ru/protected_area/strelninskiy-bereg/,oopt.spb@gmail.com,"Территория памятника природы занимает прибрежную полосу шириной до 200 м и протяженностью около 1000 м на южном берегу Финского залива. Она включает зону мелководий, поросших тростником, узкую полосу песчаных пляжей, а также участки приморского луга и тоней с зарослями ив, черной ольхи, крушины, черемухи. Вдоль границы прибрежной части гряды и топей развиты густые заросли свиды. Богатые почвы и хорошая увлажненность способствуют развитию чрезвычайно высокого и густого травостоя, где господствуют вейник, таволга, крапива, осоки. Здесь же найдены бузульник сибирский и крестовник болотный. Флора сосудистых растений насчитывает 326 видов. Основную угрозу памятнику природы представляют расширение зоны садоводства, примыкающего к его территории с юга, работы по углублению дна Финского залива, а также рекреационные нагрузки, возникающие от массового посещения побережья горожанами. Территория памятника природы «Стрельнинский берег» - эталон приморских черноольховых топей восточной части Финского залива, один из самых крупных массивов черноольшатников в границах Санкт-Петербурга. Обширные тростниковые и камышовые заросли, что создает благоприятные условия для обитания большого количества птиц.","The natural sanctuary occupies the coastal strip up to 200 m and a length of about 1,000 meters on the southern shore of the Gulf of Finland. The flora of vascular plants here has 326 species. The main threats to the sanctuary are: the expansion of the cottage complex, adjacent to its territory from the south, the dredging of the Gulf of Finland, as well as recreational pressure arising from mass visits of the townspeople to the coast. The territory of the natural sanctuary ""Strelna shore"" is the paragon of coastal black alder swamps in the eastern part of the Gulf of Finland, one of the largest black alder woodlands within the boundaries of St. Petersburg. Extensive reed thickets and rush banks create favorable conditions for the habitat of a large number of birds.","Главные даты в истории памятника природы: 22.04.1992 - объявление памятника природы, установление границ и режима охраны; 16.07.2001 - создание ГУ «Дирекция особо охраняемых природных территорий Санкт-Петербурга» для обеспечения функционирования ООПТ регионального значения в Санкт-Петербурге, в том числе, памятника природы «Стрельнинский берег»; 09.02.2006 - получение ФГУ «Государственный комплекс «Дворец конгрессов» Управления делами Президента РФ права постоянного (бессрочного) пользования земельными участками, на которых располагается памятник природы, ограничение свободного посещения территории памятника природы.",,Добраться до территории памятника природы можно: на автомобиле: по Санкт-Петербургскому шоссе и Расстанной улице; наземным общественным транспортом: по Санкт-Петербургскому шоссе.,"В связи с тем, что земельные участки памятника природы находятся в постоянном (бессрочном) пользовании ФГБУ «Государственный комплекс «Дворец конгрессов», посещение территории возможно только по специальным разрешениям.",,"59.860513,30.085621"
8664,Природные объекты,Памятник природы регионального значения «Парк «Сергиевка»,Памятник природы «Парк «Сергиевка»,"Natural sanctuary ""Sergievka Park""",,"Петродворцовый район Санкт-Петербурга, территория муниципального образования город Петергоф",+7 (812) 242-33-77,http://oopt.spb.ru/protected_area/park-sergievka/,oopt.spb@gmail.com,"Территория представляет собой старинный парк, созданный в начале XIX века на месте естественного лесного массива по склону берегового уступа и прилегающих к нему участков лугов на верхней и нижней террасах, прибрежных ольховых топей и низинного болота на берегу залива. Значительную площадь занимают искусственные пруды, глубокий овраг промытая в верхней террасе долина ручья. В склоне оврага имеется ледниковый валун диаметром около 4 и, на котором неизвестным скульптором изображено лицо человека. Создание парка за счет использования естественных особенностей рельефа и сформированных на нем природных комплексов дает возможность рассматривать его как эталон былой природы южного побережья Невской губы Финского залива. Парк вытянут перпендикулярно береговой линии с севера па юг на 2 км. На этом протяжении представлены и закономерно сменяют друг друга мелководная акватория залива, прибрежные тростниковые заросли, приморское низинное болото, прибрежные черноольховые топи, смешанный лес с широколиственными породами на нижней приморской террасе, широколиственный лес по склону уступа и примыкающих участков верхней террасы, смешанный лес со значительной примесью широколиственных пород, елово-широколиственный лес и, наконец, ельники в южной части парка. В парке ведутся постоянные флористические, фаунистические и почвенные исследования БиНИИ СПбГУ. Дворцово-парковый ансамбль «Сергиевка» внесен в Список объектов Всемирного Наследия ЮНЕСКО в составе номинации «Исторический центр Санкт-Петербурга и связанные с ним группы памятников».","Sergievka is an old park created at the beginning of the XIX century on the site of a natural forest on the slope of the beach scarp and adjacent grassland areas on the upper and lower terraces, coastal alder marshes and a fen on the gulf coast. A significant area is occupied by artificial ponds. On the slope of the ravine there is a glacial boulder about 4 m in diameter; an unknown sculptor depicted a man's face on its surface. Since the park was created through the use of natural terrain features and natural systems formed thereon, it allows us to regard it as a standard of the former nature of the southern coast of the Neva Bay of the Gulf of Finland. The park stretches perpendicularly to the coastline from north to south for 2 km. On this stretch there are shallow waters of the Gulf, coastal reeds, seaside fen, coastal alder swamps, mixed forests with broad-leaved tree species at the bottom of the seaside terrace, deciduous forest on the slope of the ledge and adjacent parts of the upper terrace, a mixed forest with considerable admixture of broad-leaved trees, spruce and deciduous forest and, finally, spruce forests in the southern part of the park. The constant floral, faunal and soil studies are constantly conducted in the park by the researchers of St. Petersburg State University. The palace and park ensemble ""Sergievka"" is included in UNESCO's List of World Heritage as a part of the nomination ""The Historic Centre of Saint Petersburg and Related Groups of Monuments"".","Главные даты в истории памятника природы: 22.04.1992 - объявление памятника природы, установление границ и режима охраны; 16.07.2001 - создание ГУ «Дирекция особо охраняемых природных территорий Санкт-Петербурга» для обеспечения функционирования ООПТ регионального значения в Санкт-Петербурге, в том числе, памятника природы «Парк «Сергиевка». С 1920 года парк используется Биологическому научно-исследовательскому институту Санкт-Петербургского государственного университета. С 1960 года территория парка «Сергиевка» имеет статус объекта культурного наследия федерального значения.","Since 1960, the area of the park ""Sergievka"" has the status of an object of cultural heritage of federal importance",Добраться до территории памятника природы можно: электропоездом: с Балтийского вокзала в Калищенском направлении до станции Университет; на автомобиле или наземным общественным транспортом: по Ораниенбаумскому шоссе.,посещение свободно,,"59.894157,29.838655"
8666,Природные объекты,Государственный природный заказник регионального значения «Гладышевский»,Заказник «Гладышевский»,"State nature reserve ""Gladyshevsky""",,"Курортный район Санкт-Петербурга, территория муниципальных образований поселок Молодежное и поселок Серово",+7 (812) 233-00-05,http://oopt.spb.ru/protected_area/gladishevskiy/,oopt.spb@gmail.com,"Заказник «Гладышевский» образован в 1996. Он расположен в южной части Карельского перешейка в бассейне реки Гладышевки, на территории двух субъектов РФ - Санкт-Петербурга и Ленинградской области. Площадь заказника - 765 гектаров. Заказник образован с целью сохранения и воспроизводства ценных видов лососевых рыб и охраны от исчезновения моллюска жемчужницы европейской (Margaritana margaritifera L.) - редкого вида, занесенного в Красную книгу РФ. В Ленинградской области осталось не более 4-5 рек, где обитают лососевые рыбы и жемчужница европейская; на Карельском перешейке это единственное место, где они обитают совместно. Заслуживают внимания регулярные зимовки оляпки на порожистых участках реки Гладышевка. Эта птица, ставшая большой редкостью в Ленинградской области, добывает себе в пищу природных беспозвоночных на незамерзающих участках реки. Растительность заказника довольно разнообразна и представлена сосняками, в том числе старовозрастными, мелколиственными лесами по долинам рек и на бывших сельскохозяйственных угодьях, а также небольшими участками ельников, лугов и фрагментами псаммофитных сообществ на побережье Финского залива. В озере встречается полушник колючеспоровый, а по его берегу растет восковик болотный- оба эти вида растений занесены в Красные книги РФ, Ленинградской области и Санкт- Петербурга.  Разнообразие ландшафтов вместе с удаленностью территории от центра города обеспечивают достаточно высокое видовое разнообразие позвоночных животных. В заказнике организованы обустроенные площадки для отдыха, пляжи, экотропы, которые не наносят ущерба животному миру.","State nature reserve ""Gladyshevsky"" was founded in 1996. It is located in the southern part of the Karelian Isthmus in the basin of Gladyshevka river, on the teriitory of both Saint Petersburg and the Leningrad region. The total area of the reserve is 765 hectares. The reserve was formed for the purposes of preservation and reproduction of valuable species of salmon and to protect European pearl-shell mollusk (Margaritana margaritifera L.) - a rare species listed in the Red Book of Russia - from extinction. In the Leningrad region there are not more than 4 or 5 rivers inhabited by salmon and European pearl-shell; the Karelian Isthmus is the only place where they exist together. Noteworthy are the regular winterings of dippers on the banks of Gladyshevka river. This bird, which has become a rarity in the Leningrad Region, procures invertebrate animals for food on the unfrozen sections of the river. The vegetation of the reserve is quite varied and is represented by pine forests, including old-growth small-leaved forests in the river valleys and on the former agricultural land, as well as small areas of spruce forests, meadows and fragments of psammophytic associations on the coast of the Gulf of Finland. A variety of landscapes, together with the remoteness of the area from the center of the city provide a sufficiently high diversity of vertebrate animals. In the reserve there are furnished seating areas, beaches and ecotrails, which do not harm the animal world.","На территории заказника есть несколько историко-культурных объектов: - Мельница на берегу р. Гладышевка - Искусственное русло реки, обеспечивающее работу оборудования мельницы, каменное здание мельницы. - Мост постройки 1933 г. у дер. Расватту (Сопки) - Пример мостовых переходов через малые реки.",In the sanctuary there are several historical and cultural sites: - a mill on the bank of the river Gladyshevka - an artificial riverbed that provides the functioning of the mill's equipment; the stone building of the mill. - the bridge built in 1933 near the village Rasvattu (Sopka) - an example of small river bridgework.,Добраться до территории заказника можно на автомобиле или наземным общественным транспортом по Приморскому и Средневыборгскому шоссе.,Неограничено,,"60.256672,29.402806"
