ID в ИС ГТИБД,Название,Вид объекта,Тип учреждения,Адрес,Описание,Координаты,Описание ориг,Историческая справка,Заметки,Режим работы
15498,памятник петербургскому поребрику,памятники,,"наб. реки Фонтанки, д. 79",2016 год возле магазин спасибо фонтанка появляться памятник петербургский поребрик - скромный табличка украшать бордюрный камень наряду парадный бадлон булка поребрик являться один неформальный символ петербург,"59.92613448,30.326222035","В 2016 году возле магазина «Спасибо!» на Фонтанке появился памятник петербургскому поребрику - скромная табличка, украшающая бордюрный камень. Наряду с парадной, бадлоном и булкой, поребрик является одним из неформальных символов Петербурга.",,,Круглосуточно
15499,миниатюрный памятник даниилу хармсу,памятники,,"ул. Жуковского, д. 20",ноябрь 2016 год улица жуковский поселяться крошечный даниил хармс необычный скульптура представлять себя точный копия автопортрет писатель который нарисовать свой визитный карточка выбор адрес - случайность известный обэриут жить неподалеку место,"59.93606488,30.357210768","В ноябре 2016 года на улице Жуковского поселился крошечный Даниил Хармс. Необычная скульптура представляет собой точную копию автопортрета писателя, который тот нарисовал на своей визитной карточке. Выбор адреса - не случайность: известный ОБЭРИУт жил неподалёку от этого места.",,,Круглосуточно
15500,памятник кошке блокадного ленинграда,памятники,,"ул. Композиторов, д. 4",известно прорыв блокада ленинград разный уголок страна город привозить тысяча кошка который спасать северный столица нашествие крыса память мяукать охотник выборгский район устанавливать памятник кошка сидеть стул торшер,"60.045277648,30.317155875","Как известно, после прорыва блокады Ленинграда из разных уголков страны в город привезли тысячи кошек, которые спасли Северную столицу от нашествия крыс. В память о мяукающих охотниках в Выборгском районе установили памятник кошке, сидящей на стуле под торшером.",,,Круглосуточно
15501,памятник иосифу бродскому,памятники,,"ул. Одоевского, д. 28",начало 2017 год сквер улица одоевский вырастать необычный памятник иосиф бродский гранитный поребрик создатель изваяние - евгений ротан,"59.947712487,30.241127569",В начале 2017 года в сквере на улице Одоевского вырос необычный памятник Иосифу Бродскому из гранитных поребриков. Создатель изваяния - Евгений Ротанов.,,,Круглосуточно
15502,памятник суворову,памятники,,Суворовская площадь,памятник суворов устанавливать повеление император павел i царствование который полководец совершать свой знаменитый поход италия авторство памятник принадлежать скульптор м козловский который работать монумент 1799 1801 год пьедестал располагать фигура фельдмаршал аллегорический облик марс подымать меч правый рука щит лева античный одежда фигура суворов выполнять бронза нередко отмечаться памятник иметь прямой портретный сходство фельдмаршал представлять себя скоро символический героико-эпический образ великий полководец,"59.945977,30.32981","Памятник А. В. Суворову был установлен по повелению императора Павла I, в царствование которого полководец совершил свой знаменитый поход в Италию. Авторство памятника принадлежит скульптору М. И. Козловскому, который работал над монументом с 1799 по 1801 год. На пьедестале расположена фигура фельдмаршала в аллегорическом облике Марса, с поднятым мечом в правой руке и со щитом в левой, в античной одежде. Фигура А. В. Суворова выполнена из бронзы. При этом нередко отмечается, что памятник не имеет прямого портретного сходства с фельдмаршалом, а представляет собой скорее символический героико-эпический образ «великого полководца».",,,Круглосуточно
3286,банковский мост,мосты,тематический,"Санкт-Петербург, Банковский мост",,"59.932157,30.325004",,банковский мост был построен в 1825-1826 годах по проекту инженеров в фон треттера и е а адама является одним из трёх висячих мостов сохранившихся до настоящего времени в петербурге особую известность мосту принесли угловые скульптуры грифонов - литые фигуры мифических животных с медными позолоченными крыльями согласно мифам древней греции грифоны являются надёжными стражами кладов именно поэтому они были выбраны в качестве декоративного оформления моста у здания банка построен в 1825-1826 гг инженеры в фон треттер е а адам скульптор п п соколов,,
3301,львиный мост,мосты,тематический,"Санкт-Петербург, Львиный мост",,"59.926909,30.30145",,львиный пешеходный мост через канал грибоедова расположен в створе львиного переулка является одним из знаковых мостов петербурга мост украшают четыре чугунные фигуры львов окрашенные под мрамор внутри которых скрыты металлические кронштейны к которым подвешены тросы поддерживающие мост длина моста 28 м ширина 2 5 м построен в 1825-1826 гг инженеры в к треттер в а христианович скульптор п п соколов,,
3314,синий мост,мосты,обзорные,"Санкт-Петербург, Синий мост",,"59.931864,30.309463",,первый деревянный мост через мойку в районе исаакиевской площади возник в 1737 году в 1818 году взамен был построен новый постоянный мост шириной 41 м в 1843 году синий мост был расширен до современных размеров став самым широким мостом санкт-петербурга название мост получил по цвету перил длина моста 35 м ширина 97 м с июля 2013 г по май 2014 г на синем мосту проводятся работы по капитальному ремонту построен в 1818 г перестроен в 1843 г инженеры в е гесте п п базен е а адам а д гетман и с завалишин,,
6764,большой обуховский мост,мосты,,"Санкт-Петербург, Большой Обуховский мост",,"59.85416,30.496025",,большой обуховский мост - вантовый неразводной мост через неву расположен на границе невского района санкт-петербурга и всеволожского района ленинградской области в среднем течении невы соединяет проспект обуховской обороны и октябрьскую набережную,,
6765,володарский мост,мосты,,"Санкт-Петербург, Володарский мост",,"59.877429,30.453123",,володарский мост - мост через неву в санкт-петербурге соединяет народную и ивановскую улицы назван в честь революционного деятеля в володарского убитого в районе будущего моста в 1918 году единственный в петербурге мост с эстакадной пристройкой для съезда трамваев левый берег,,
6766,финляндский железнодорожный мост,мосты,,"Санкт-Петербург, Финляндский железнодорожный мост",,"59.914168,30.404909",,финляндский железнодорожный мост - разводной мост через неву на финляндской соединительной железнодорожной ветке фактически это два почти вплотную примыкающих друг к другу моста имеющих общее название,,
6767,мост александра невского,мосты,,"Санкт-Петербург, Мост Александра Невского",,"59.926656,30.399817",,мост александра невского - мост через неву в санкт-петербурге назван в честь новгородского князя александра невского соединяет площадь александра невского окончание невского проспекта и заневский проспект расположен рядом со станциями метро площадь александра невского расположенными на двух линиях метрополитена 3-ей и 4-ой,,
6768,большеохтинский мост,мосты,,"Санкт-Петербург, Большеохтинский мост",,"59.94262,30.401585",,большеохтинский мост до 1917 года - мост императора петра великого с 1917 по 1956 годы - большеохтенский мост - мост через реку неву в санкт-петербурге соединяет исторический центр города по трассе тульской улицы с районом малая охта красногвардейская площадь,,
6769,литейный мост,мосты,,"Санкт-Петербург, Литейный мост",,"59.951684,30.349419",,литейный мост - разводной мост через неву в санкт-петербурге соединяет центральную часть города по оси литейного проспекта с выборгской стороной улица академика лебедева второй постоянный мост через неву после благовещенского моста длина моста равна 396 метров а ширина - 34 метра масса всех металлических пролетных строений моста составляет 5902 тонны,,
6770,троицкий мост,мосты,,"Санкт-Петербург, Троицкий мост",,"59.948767,30.327582",,тро ицкий мост - один из красивейших петербургских мостов через неву мост соединяет суворовскую площадь перед марсовым полем и троицкую площадь петроградская сторона за мостом начинается каменноостровский проспект третий постоянный мост через неву после благовещенского и литейного,,
6771,дворцовый мост,мосты,,"Санкт-Петербург, Дворцовый мост",,"59.941238,30.308017",,дворцовый мост - разводной мост через реку неву большую неву в санкт-петербурге соединяет центральную часть города адмиралтейский остров и васильевский остров находится на оси дворцового проезда и биржевой площади длина моста - 250 м по другим данным 255 м ширина - 27 7 м состоит из пяти пролетов разведённый двукрылый центральный пролёт дворцового моста - один из символов города,,
6772,благовещенский мост,мосты,,"Санкт-Петербург, Благовещенский мост",,"59.934691,30.289538",,благовещенский мост - первый постоянный мост через реку неву большую неву в санкт-петербурге он соединяет василеостровский район васильевский остров с центральной частью города 2-й адмиралтейский остров часть адмиралтейского района,,
6773,биржевой мост,мосты,,"Санкт-Петербург, Биржевой мост",,"59.94627,30.303415",,биржевой мост - мост в санкт-петербурге перекинутый через малую неву и соединяющий биржевую площадь на стрелке васильевского острова с мытнинской набережной на петроградской стороне первый мост на этом месте был построен в 1893-1894 годах по проекту инженера н м мазурова это был двадцатипятипролётный деревянный трапецеидально-подкосный мост длиной в 326 м со средним 14-метровым разводным пролётом,,
6774,тучков мост,мосты,,"Санкт-Петербург, Тучков мост",,"59.948947,30.285527",,тучко в мост - трёхпролётный разводной мост в санкт-петербурге через малую неву соединяющий большой проспект петроградской стороны с кадетской и первой линией васильевского острова на васильевском острове мост соседствует с набережной макарова малым проспектом кадетской и 1-й линиями в о и тучковым переулком а на петроградской стороне - со ждановской набережной большим проспектом проспектом добролюбова,,
6775,сампсониевский мост,мосты,,"Санкт-Петербург, Сампсониевский мост",,"59.958048,30.337437",,сампсониевский мост - соединяет правый берег реки невы и петроградский остров через большую невку связывая выборгский и петроградский районы санкт-петербурга длина моста 215 метров ширина 27 метров в том числе два тротуара по 3 0 метра и трамвайная полоса 7 0 метров разводная система моста находится в рабочем состоянии,,
6776,гренадерский мост,мосты,,"Санкт-Петербург, Гренадерский мост",,"59.967917,30.334661",,гренадерский мост переброшен через реку большую невку в санкт-петербурге вместе с сампсониевским мостом соединяет петроградскую улица чапаева и выборгскую гренадерская улица стороны своё название мост получил от казарм гренадерского полка которые были сооружены в 1803-1809 гг,,
6777,кантемировский мост,мосты,,"Санкт-Петербург, Кантемировский мост",,"59.978489,30.321815",,кантеми ровский мост - соединяет правый берег реки невы и аптекарский остров через большую невку связывая выборгский и петроградский районы санкт-петербурга последний по времени возведения разводной мост в 1817-1821 годах на этом месте был сооружен плашкоутный перевоз который просуществовал здесь долгое время постоянный мост был построен в 1979-1982 годах по проекту инженеров б н брудно б б левина и архитектора а в говорковского и в м иванова,,
6778,ушаковский мост,мосты,,"Санкт-Петербург, Ушаковский мост",,"59.982604,30.300201",,ушаковский мост в 1836-1952 годах - строгановский мост ранее - 2-й каменноостровский мост - мост в санкт-петербурге через большую невку соединяет каменноостровский проспект и улицу академика крылова мост имеет 11 пролётов центральный - разводной двухкрылый пролётное строение - откатно-раскрывающейся системы остальные пролёты перекрыты неразрезными балками с криволинейным очертанием поясов,,
6779,3-й елагин мост,мосты,,"Санкт-Петербург, 3-й Елагин мост",,"59.982487,30.25428",,3-й елагин мост - мост в санкт-петербурге через большую невку на елагин остров является главным входом в центральный парк культуры и отдыха имени с м кирова в 1826 году здесь был наведён наплавной мост который в 1840 году был перестроен в постоянный 9-пролётный мост балочно-подкосной системы с разводным пролётом посередине разводной пролёт был двукрылый раскрывающейся системы состоял из 4-х деревянных рам разводка моста производилась с помощью ручных лебёдок,,
6780,1-й елагин мост,мосты,,"Санкт-Петербург, 1-й Елагин мост",,"59.977481,30.271581",,1-й елагин мост соединяет елагин остров с каменным островом основная задача - связать в районе площади старого театра длина моста 107 9 м ширина - 11 53 м высота пролёта - 4 2 м первый мост появился здесь в 1817 году и стал восьмым наплавным мостом в петербурге,,
6781,2-й елагин мост,мосты,,"Санкт-Петербург, 2-й Елагин мост",,"59.975558,30.258115",,2-й елагин мост соединяет елагин остров с крестовским островом и является продолжением рюхиной улицы длина моста 141 9 м ширина - 14 5 м первый мост появился здесь в 1821 году и стал девятым наплавным мостом в петербурге сейчас разводка моста происходит по рабочим дням и по предварительной заявке для пропуска маломерных судов,,
6782,каменноостровский мост,мосты,,"Санкт-Петербург, Каменноостровский мост",,"59.977472,30.301324",,каменноостровский мост - мост через малую невку в санкт-петербурге соединяет аптекарский и каменный острова в створе каменноостровского проспекта в 1999 году на мосту выполнен капитальный ремонт из-за ограничения грузоподъемности моста перед въездами установлены дорожные знаки 3 11 ограничение массы - 25 т,,
6783,большой крестовский мост,мосты,,"Санкт-Петербург, Большой Крестовский мост",,"59.967074,30.280483",,большой крестовский мост - соединяет петроградский и крестовский острова через малую невку в петроградском районе санкт-петербурга это мост не значится в городском графике разводки его средний пролет поднимается по особой заявке всего несколько раз в год большой крестовский мост стал первым крупным мостом построенным в ленинграде после окончания войны,,
6784,лазаревский мост,мосты,,"Санкт-Петербург, Лазаревский мост",,"59.965075,30.273818",,лазаревский мост - мост через малую невку в санкт-петербурге в створе пионерской улицы колтовский мост по старому названию прилегающей местности - колтовские был построен в 1947-1949 годах его автор - инженер в в блажевич в 1952 году его переименовали в лазаревский - честь адмирала м п лазарева тогда же колтовская набережная стала набережной адмирала лазарева,,
6785,большой петровский мост,мосты,,"Санкт-Петербург, Большой Петровский мост",,"59.964931,30.254926",,большой петровский мост - мост через малую невку в санкт-петербурге соединяет петровский остров улица савиной с крестовским южная дорога переправа проходит над небольшим безымянным островом на реке малой невке большой петровский мост примечателен тем что неподалеку от него в 1916 году был сброшен под лед труп последнего временщика императорской россии г е распутина,,
6786,тройной мост,мосты,,"Санкт-Петербург, Тройной мост",,"59.941547,30.328827",,тройной мост также трёхарковый мост трёхколенный мост - неформальное название уникальной мостовой композиции соединяющей между собой три острова спасский 1-й адмиралтейский и казанский в центральном районе санкт-петербурга театральный мост прежде красный перво-конюшенный красный мост был одним из первых мостов через екатерининский канал по нему назван прорытый в 1711 году красный канал,,
6787,ново-конюшенный мост,мосты,,"Санкт-Петербург, Ново-Конюшенный мост",,"59.940686,30.328561",,ново-конюшенный мост - соединяет казанский и спасский острова через канал грибоедова в центральном районе санкт-петербурга в 1998 мост получил своё современное название по расположенной рядом конюшенной площади ср названия большого конюшенного и мало-конюшенного мостов через мойку,,
6788,итальянский мост,мосты,,"Санкт-Петербург, Итальянский мост",,"59.937256,30.327178",,итальянский мост - соединяет казанский и спасский острова через канал грибоедова в центральном районе санкт-петербурга название мосту дано по расположенной рядом итальянской улице существующий мост построен в 1955 г по проекту разработанному в институте гипроинжпроект архитектором в с васильковским и инженером а д гутцайтом,,
6789,казанский мост,мосты,,"Санкт-Петербург, Казанский мост",,"59.935133,30.326316",,казанский мост - соединяет казанский и спасский острова через канал грибоедова в центральном районе санкт-петербурга казанский мост с 1766 по 1830 года назывался рождественский мост с 1923 по 1944 год - мост плеханова расположен рядом с казанским собором который дал название мосту построен в 1765-1766 годах инженеры в и назимов и м голенищев-кутузов на месте существовавшего уже в 1716 году деревянного рождественского моста снесённого при облицовке гранитом набережных канала,,
6790,мучной мост,мосты,,"Санкт-Петербург, Мучной мост",,"59.931017,30.321105",,мучной мост - соединяет казанский и спасский острова через канал грибоедова в центральном районе санкт-петербурга получил своё название от мучных складов построенных ещё в xviii веке и давших название также мучному переулку первый мост на этом месте был построен в 1931 году это был трёхпролётный мост-теплопровод в 1951 мост был перестроен по проекту инженера п в баженова в однопролётный получив при этом дополнительную функцию пешеходного,,
6791,каменный мост,мосты,,"Санкт-Петербург, Каменный мост",,"59.930435,30.319138",,каменный мост - соединяет казанский и спасский острова через канал грибоедова через него проходит граница между адмиралтейским и центральным районами санкт-петербурга название своё получил потому что свод устои и другие части моста были сооружены из камня до того мосты в санкт-петербурге строились в основном из дерева известно что уже в 1752 на этом месте существовал деревянный средний мост,,
6792,демидов мост,мосты,,"Санкт-Петербург, Демидов мост",,"59.928672,30.315554",,демидов мост - соединяет казанский и спасский острова через канал грибоедова в адмиралтейском районе санкт-петербурга мост соединяет две части переулка гривцова ранее демидов переулок название происходит от фамилии известных русских предпринимателей демидовых деревянный свайный мост на этом месте был перекинут через канал в 1776 году металлический мост был построен в 1834-1835 по проекту и под наблюдением инженера е а адама при участии архитектора п п базена,,
6793,сенной мост,мосты,,"Санкт-Петербург, Сенной мост",,"59.926503,30.315248",,сенно й мост - соединяет казанский и спасский острова через канал грибоедова в адмиралтейском районе санкт-петербурга мост получил название по находящейся рядом сенной площади построен в 1931 году как однопролётный пешеходный мост-теплопровод имел свайные опоры деревянную балочную пролётную систему с тремя нитками прогонов каждый из которых состоял из трёх брусьев между прогонами на мосту были подвешены по две теплофикационные трубы,,
6794,кокушкин мост,мосты,,"Санкт-Петербург, Кокушкин мост",,"59.925804,30.313676",,кокушкин мост - соединяет казанский и спасский острова через канал грибоедова в адмиралтейском районе санкт-петербурга и соответственно столярный и кокушкин переулки ближайшая станция метрополитена 300 м - садовая название получил по фамилии купца василия кокушкина дом которого располагался на углу кокушкина переулка и садовой улицы до 1872 года официальное название моста записывалось двояко и как кокушкин и как какушкин,,
6795,вознесенский мост,мосты,,"Санкт-Петербург, Вознесенский мост",,"59.926467,30.308188",,вознесенский мост - соединяет казанский и спасский острова через канал грибоедова в адмиралтейском районе санкт-петербурга мост получил свое название 20 августа 1739 года по вознесенской церкви возведённой рядом с мостом в xviii веке антонио ринальди и разрушенной в 1936 году,,
6797,подьяческий мост,мосты,,"Санкт-Петербург, Подьяческий мост",,"59.926783,30.305735",,подьяческий мост - соединяет казанский и спасский острова через канал грибоедова в адмиралтейском районе санкт-петербурга своё название получил от большой подьяческой улицы которая в свою очередь как и соседние малая и средняя подьяческая была названа в xviii веке по селившимся в этом районе петербурга мелким чиновникам которых иногда называли подьячими на руси подьячими называли помощников дьяков - делопроизводителей и письмоводителей приказов,,
6798,харламов мост,мосты,,"Санкт-Петербург, Харламов мост",,"59.924325,30.303067",,харламов мост с 1927 по 1991 - комсомольский мост - соединяет казанский и спасский острова через канал грибоедова в адмиралтейском районе санкт-петербурга название получил по фамилии статского советника е с харламова чей дом располагался неподалёку в находящемся рядом с мостом доме валька современный адрес наб канала грибоедова 104 25 поселился после приезда в петербург в 1816 году а с грибоедов,,
6799,мало-калинкин мост,мосты,,"Санкт-Петербург, Мало-Калинкин мост",,"59.916726,30.281265",,мало-калинкин мост также мало-калинкинский мост - соединяет коломенский и покровский острова через канал грибоедова в адмиралтейском районе санкт-петербурга мост получил название по находившейся здесь в xviii веке калинкиной деревне построен в 1783 инженером и н борисовым одновременно с сооружением гранитных набережных канала,,
6800,эрмитажный мост,мосты,,"Санкт-Петербург, Эрмитажный мост",,"59.942606,30.317",,эрмитажный мост ранее зимнедворцовый верхненабережный - соединяет 1-й и 2-й адмиралтейские острова через зимнюю канавку в центральном районе санкт-петербурга постоянный каменный мост был построен в 1763-1766 годах одновременно с возведением гранитных набережных невы став первым каменным мостом в городе это старейший каменный мост санкт-петербурга,,
6801,1-й инженерный мост,мосты,,"Санкт-Петербург, 1-й Инженерный мост",,"59.941768,30.337796",,первый инженерный мост бывший летний мост - соединяет острова летний сад и спасский через реку мойка в центральном районе санкт-петербурга с 1780-х годов на этом месте находился был построен деревянный мост именуемый летним назван по находящемуся рядом михайловскому инженерному замку который обрёл новое название в 1823 году когда в нём разместилось главное инженерное училище с 1882 года носит название 1-й инженерный,,
6802,1-й мост круштейна,мосты,,"Санкт-Петербург, 1-й мост Круштейна",,"59.930917,30.290607",,1-й мост круштейна до 1836 - мост новой голландии в 1836-1846 голландский до 1922 - ново-голландский - соединяет новую голландию и 2-й адмиралтейский остров через адмиралтейский канал в адмиралтейском районе санкт-петербурга мост находится недалеко от площади труда этим объясняется то что в 1836-1846 годах мост именовался голландским позже - ново-голландским носит имя к я круштейна присвоено в 1950-е годы по существовавшему в то время наименованию канала,,
6803,2-й мост круштейна,мосты,,"Санкт-Петербург, 2-й мост Круштейна",,"59.929605,30.286547",,2-й мост круштейна в 1836 - чугунный - соединяет новую голландию и 2-й адмиралтейский остров через адмиралтейский канал в адмиралтейском районе санкт-петербурга в справочнике 1836 года носит название чугунный мост как и многие другие мосты получил первоначальное наименование по названию материала из которого он был сооружён носит имя к я круштейна присвоено в 1950-е годы по существовавшему в то время наименованию канала,,
6804,бумажный мост,мосты,,"Санкт-Петербург, Бумажный мост",,"59.906079,30.261915",,бумажный мост - автодорожный мост в санкт-петербурге через бумажный канал по оси лифляндской улицы название мосту дано по бумажной фабрике находившейся в этом районе с петровских времен первый мост на этом месте был построен до 1795 года в 1823 г по проекту инженеров п п базена а а бетанкура и б п э клапейрона сооружён деревянный арочный однопролётный мост существующий мост построен в 1962-1963 гг по проекту инженера е а болтуновой и архитектора л а носкова,,
6805,сутугин мост,мосты,,"Санкт-Петербург, Сутугин мост",,"59.90242,30.269039",,сутугин мост - пешеходный мост через бумажный канал связывающий перекопскую бывш сутугину улицу с парком екатерингоф название моста а также прежнее наименование перекопской улицы связано с находившейся здесь поблизости сутугиной дачей построенной в 1815 году для купца матвея сутугина на правобережном устое установлены гранитные вазы xix века,,
6806,алмазный мост,мосты,,"Санкт-Петербург, Алмазный мост",,"59.879073,30.353175",,алмазный мост - мост через реку волковку во фрунзенском районе санкт-петербурга расположен в створе улиц салова и благодатной мост назван по расположенному недалеко от этого места абразивному заводу к заводу от моста ведёт алмазная улица мост находится в зоне промышленной застройки расстояние от ближайшей станции метро 1 км станция бухарестская,,
6807,1-й волковский мост,мосты,,"Санкт-Петербург, 1-й Волковский мост",,"59.899523,30.359679",,1-й волковский мост - мост через волковку в санкт-петербурге 1-й волковский мост ведет к боковому входу на волковское кладбище в створе средней улицы свое название как и 2-й и 3-й волковские мосты он получил в 1950-е годы,,
6808,старообрядческий мост,мосты,,"Санкт-Петербург, Старообрядческий мост",,"59.904726,30.364162",,старообрядческий мост - мост через реку волковку в санкт-петербурге расположен в створе расстанного переулка название моста происходит оттого что в 1777 году в волковой деревне возникло старообрядческое кладбище и позднее в этом районе была открыта старообрядческая богадельня,,
6809,грааповский мост,мосты,,"Санкт-Петербург, Грааповский мост",,"59.910893,30.359158",,грааповский мост - мост через реку волковку в санкт-петербурге расположен на продолжении днепропетровской улицы в муниципальном округе лиговка-ямская центрального района устои моста выполнены из железобетона ограждения - металлические с гранитными тумбами на краях ширина моста - 20 4 м длина 27 8 м авторы проекта нового моста - инженер ю л юрков архитектор л а носков,,
6810,ново-кирпичный мост,мосты,,"Санкт-Петербург, Ново-Кирпичный мост",,"59.913627,30.361898",,ново-кирпичный мост - автомобильный мост в санкт-петербурге переброшен через реку волковку по южной левобережной набережной обводного канала в 2009 году мост признан аварийным при реконструкции американских мостов мост был снесён и на его месте был построен новый движение открыто 25 декабря 2012,,
